HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
95771,19,28,42.41,24,39,54.6,4.44,11,-126.45,-106.99,1.502,1.68,M0 comp
95853,19,29,42.34,51,43,46.1,3.76,26.63,20.92,128.12,0.148,0.18,A5Vn
95947,19,30,43.29,27,57,34.9,3.05,8.46,-7.09,-5.63,1.088,1.05,K3II+...
96406,19,36,1.65,-24,43,8.5,5.64,11.23,6.08,-26.37,0.185,0.16,A1m...
96757,19,40,5.78,18,0,50.2,4.39,6.89,15.09,-19.72,0.777,0.77,G0II
96837,19,41,2.93,17,28,34,4.39,6.99,9.06,-33.9,1.041,0.96,G8II
97165,19,44,58.44,45,7,50.5,2.86,19.07,43.22,48.44,-0.002,-0.02,B9.5III
97278,19,46,15.57,10,36,47.8,2.72,7.08,15.72,-3.08,1.507,1.44,K3II
97365,19,47,23.27,18,32,3.3,3.68,7.28,-4.58,11.1,1.313,1.27,M2II + B6
97433,19,48,10.21,70,16,4.2,3.84,22.4,80.18,39.02,0.888,0.88,G8III
97649,19,50,46.68,8,52,2.6,0.76,194.44,536.82,385.54,0.221,0.27,A7IV-V
97804,19,52,28.36,1,0,20.4,3.87,2.78,6.94,-7.3,0.63,0.73,F6Ibv SB
98032,19,55,15.68,-41,52,6.3,4.12,17.24,23.37,51.6,1.063,1.09,K0III
98036,19,55,18.77,6,24,28.6,3.71,72.95,46.35,-481.32,0.855,0.89,G8IVvar
98110,19,56,18.4,35,5,0.6,3.89,23.4,-34,-27.6,1.019,0.98,K0IIIvar
98337,19,58,45.39,19,29,31.5,3.51,11.9,64.37,22.58,1.571,1.65,K5III
98412,19,59,44.17,-35,16,34.5,4.37,5.28,6.02,-25.15,-0.15,-0.15,B2.5IV
98495,20,0,35.39,-72,54,36.7,3.97,30.73,80.54,-131.34,-0.032,-0.04,A0V
98543,20,1,6.01,27,45,12.8,4.66,14.67,57.99,3.76,0.184,0.19,A4III
98688,20,2,39.46,-27,42,35.6,4.43,7.28,32.28,14.35,1.64,2.5,M4III
98920,20,5,9.47,19,59,27.2,5.09,20.17,30.61,79.65,1.058,1.1,K2III
99240,20,8,41.86,-66,10,45.6,3.55,163.73,1210.29,-1130.34,0.751,0.76,G5IV-Vvar
99473,20,11,18.26,0,49,17.3,3.24,11.36,35.48,6.05,-0.066,-0.06,B9.5III
100064,20,18,3.22,-12,32,41.5,3.58,30.01,61.78,2.85,0.883,0.92,G6/G8III
100345,20,21,0.65,-14,46,53,3.05,9.48,48.42,14,0.79,0.9,A5:n
100453,20,22,13.7,40,15,24.1,2.23,2.14,2.43,-0.93,0.673,0.65,F8Ib
